,거래일자,업체명,금액
0,2022-07-21,씨유 양재점,2900
1,2022-07-20,국미당,22000
2,2022-07-20,트래고드,12100
3,2022-07-20,피끄니크,87200
4,2022-07-19,씨유 양재점,2900
5,2022-07-18,주식회사커피플랜트,19500
6,2022-07-18,이올로화덕피자,72500
7,2022-07-17,ZARA,127100
8,2022-07-17,쎄븐일레븐,950
9,2022-07-16,(주)성웅유통,31010
10,2022-07-16,(주)성웅유통,16660
11,2022-07-16,구글플레이,2400
12,2022-07-15,Dropbox 99JN38X8W4X3,0
13,2022-07-14,(주)영풍문고,24900
14,2022-07-14,에스타미네 스탠드,18000
15,2022-07-13,스타벅스코리아,9500
16,2022-07-13,KB국민카드_카카오페이(일반)_개인영세,17200
17,2022-07-13,KB국민카드_카카오페이(일반)_법인,3000
18,2022-07-13,카카오페이(택시),20300
19,2022-07-13,스타벅스코리아,19300
20,2022-07-13,답다(DAPDA),54000
21,2022-07-12,씨유서울대파인점,950
22,2022-07-12,(주)한유에너지행운주유소,10000
23,2022-07-12,불닭발동대문엽기떡볶이 양재점,33500
24,2022-07-12,스타벅스코리아,23600
25,2022-07-12,두두컴퍼니,71000
26,2022-07-12,씨유 양재점,2900
27,2022-07-11,답다(DAPDA),77000
28,2022-07-11,라벨커피도곡점 (LABEL COFFEE),7500
29,2022-07-08,버스 2 건,2100
30,2022-07-08,지하철 12 건,16700
31,2022-07-08,에스타미네 스탠드,13000
32,2022-07-08,제레미 버거,63100
33,2022-07-07,문화체육바우처_구인증_중소3,56800
34,2022-07-06,지에스(GS)25 S강남구청역점,2400
35,2022-07-06,GS25논현파라곤점,6700
36,2022-07-06,UT 택시,10000
37,2022-07-06,UT 택시,1000
38,2022-07-06,KB국민카드_카카오페이(일반)_법인,300
39,2022-07-06,KB국민카드_카카오페이(일반)_법인,53800
40,2022-07-06,카카오페이(택시),55100
41,2022-07-06,(주)작은공간,27000
42,2022-07-05,(주)성웅유통,1980
43,2022-07-05,(주)에이비씨코리아마트,69000
44,2022-07-05,신성통상(주)TOPTEN 포도몰신림,10000
45,2022-07-05,(주)에이비씨코리아마트,89000
46,2022-07-05,스타벅스코리아,14300
47,2022-07-04,이마트24 스타필드코엑스몰 1호점,4000
48,2022-07-04,(주)신세계프라퍼티 코엑스몰,117000
49,2022-07-04,(주)신세계프라퍼티 코엑스몰,50000
50,2022-07-04,오향절면,49000
51,2022-07-04,세이민,70000
52,2022-07-03,크래프트한스,26900
53,2022-07-03,매드포갈릭 목동점,84300
54,2022-07-03,유튜브프리미엄,8690
55,2022-07-03,UT 택시,36700
56,2022-07-02,UT 택시,29700
57,2022-07-02,티머니 개인택시_0,31300
58,2022-07-02,UT 택시,1000
59,2022-07-02,케그샵,190200
60,2022-07-02,디즈니플러스,9900
61,2022-07-02,족발의장인족장 여의도본점,84000
62,2022-07-01,티머니 개인택시_0,4000
63,2022-07-01,씨유 양재점,2900
64,2022-07-01,UT 택시,23900
65,2022-07-01,UT 택시,1000
66,2022-06-30,별난낙지,46000
67,2022-06-28,가마로강정,2500
68,2022-06-28,가마로강정,9500
69,2022-06-28,할머니 순두부,20000
70,2022-06-28,스타벅스코리아,9500
71,2022-06-28,주식회사커피플랜트,13500
72,2022-06-28,오향절면,36000
73,2022-06-28,씨유 양재점,2900
74,2022-06-27,KB국민카드_카카오페이(일반)_법인,10600
75,2022-06-27,KB국민카드_카카오페이(일반)_법인,3000
76,2022-06-27,카카오페이(택시),13500
77,2022-06-27,KB국민카드_카카오페이(일반)_개인영세,4100
78,2022-06-27,카카오페이(택시),5200
79,2022-06-27,스타벅스코리아,5000
80,2022-06-27,씨유 양재점,2900
81,2022-06-27,SK텔레콤-자동납부,87180
82,2022-06-25,(주)한유에너지행운주유소,10000
83,2022-06-25,스타벅스코리아,5000
84,2022-06-25,KB국민카드_카카오페이(일반)_법인,9700
85,2022-06-25,KB국민카드_카카오페이(일반)_법인,3000
86,2022-06-25,카카오페이(택시),12700
87,2022-06-25,씨유오벨리스크점,10200
88,2022-06-24,쿠바 (CUBA),233000
89,2022-06-24,칸나닭집,144400
90,2022-06-24,스타벅스코리아,9500
91,2022-06-24,스타벅스코리아,4100
92,2022-06-24,씨유 양재점,2900
93,2022-06-23,백채  양재역점,28500
94,2022-06-23,스타벅스코리아,5000
95,2022-06-23,더한순대,38000
96,2022-06-22,오향절면,13000
97,2022-06-22,스타벅스코리아,5000
98,2022-06-22,스타벅스코리아,4800
99,2022-06-21,스타벅스코리아,5900
100,2022-06-21,씨유 양재점,2900
101,2022-06-20,서울경양,34000
102,2022-06-20,씨유 양재점,2900
103,2022-06-19,씨제이올리브네트웍스(주)관악로점,18000
104,2022-06-17,지에스25 도곡센터점,1500
105,2022-06-16,두두컴퍼니,60000
106,2022-06-16,구글플레이,2400
107,2022-06-15,지에스25 관악블루점,1880
108,2022-06-15,대성석유(주)연일주유소,6000
109,2022-06-15,티머니 고속버스,17100
110,2022-06-14,스타벅스코리아,23600
111,2022-06-14,우리들약국,5500
112,2022-06-13,네네치킨 봉천현대점,23000
113,2022-06-13,커피에스페란토,9600
114,2022-06-13,곱창왕김형제양재점,72000
115,2022-06-12,시드니스테이크,79700
116,2022-06-11,국민우유,3000
117,2022-06-11,인터파크_이니시스,169000
118,2022-06-11,(주)성웅유통,11000
119,2022-06-10,(주)한유에너지행운주유소,6500
120,2022-06-10,스타벅스코리아,5000
121,2022-06-09,스타약국,2700
122,2022-06-09,지마켓,17100
123,2022-06-09,상쾌한이비인후과,5000
124,2022-06-08,지하철 9 건,11200
125,2022-06-08,비비큐치킨,24000
126,2022-06-08,지에스25 도곡센터점,12650
127,2022-06-08,에스타미네 스탠드,11000
128,2022-06-08,SSG.COM,65100
129,2022-06-07,(주)성웅유통,18570
130,2022-06-07,문화체육바우처_구인증_중소3,56800
131,2022-06-04,STEAMGAMES.COM 4259522,0
132,2022-06-03,지에스25 관악블루점,3800
133,2022-06-03,마라홀릭 양재역점,6000
134,2022-06-03,마라홀릭 양재역점,19600
135,2022-06-03,KB국민카드_카카오페이(일반)_개인영세,15700
136,2022-06-03,KB국민카드_카카오페이(일반)_법인,3000
137,2022-06-03,카카오페이(택시),21900
138,2022-06-03,유튜브프리미엄,8690
139,2022-06-03,두두컴퍼니,46000
140,2022-06-03,스타벅스코리아,9500
141,2022-06-02,디즈니플러스,9900
142,2022-06-02,(주)한유에너지행운주유소,6000
143,2022-06-02,지에스25 도곡센터점,3000
144,2022-06-02,에스타미네 스탠드,11500
145,2022-06-01,이마트24 관악행운점,1500
146,2022-05-31,네네치킨 봉천현대점,23000
147,2022-05-31,스타벅스코리아,10000
148,2022-05-30,지에스25 도곡센터점,3200
149,2022-05-30,피끄니크,20000
150,2022-05-30,주식회사 에스알컴퍼니,43500
151,2022-05-30,스타벅스코리아,5000
152,2022-05-29,스파오타임스퀘어특판,119700
153,2022-05-29,스파오타임스퀘어특판,19900
154,2022-05-29,(주)지오다노 타임스퀘어,59800
155,2022-05-28,스타벅스코리아,10000
156,2022-05-27,네네치킨 봉천현대점,26500
157,2022-05-27,에스타미네 스탠드,14500
158,2022-05-26,지에스25 관악블루점,1200
159,2022-05-26,세븐일레븐 도곡중앙점,2000
160,2022-05-26,스타벅스코리아,9800
161,2022-05-26,카카오개인택시영세,41700
162,2022-05-26,카카오택시 선승인 로카모빌리티,45400
163,2022-05-26,KB국민카드_카카오페이(일반)_개인일반,42500
164,2022-05-26,카카오페이(택시),44600
165,2022-05-26,SK텔레콤-자동납부,87180
166,2022-05-25,죠스떡볶이,11500
167,2022-05-25,주식회사커피플랜트,8000
168,2022-05-24,전주현대옥,24500
169,2022-05-24,스타벅스코리아,9500
170,2022-05-24,(주)한미석유서초주유소,10000
171,2022-05-23,네네치킨 봉천현대점,21000
172,2022-05-23,이지프렌즈,20000
173,2022-05-23,별난낙지,46000
174,2022-05-23,SSG.COM,10830
175,2022-05-23,씨유 양재점,3200
176,2022-05-21,네네치킨 봉천현대점,23000
177,2022-05-20,(주)감성타코 강남역점,54000
178,2022-05-20,스타벅스코리아,3900
179,2022-05-19,씨유서울대파인점,950
180,2022-05-19,별난낙지,46000
181,2022-05-19,스타벅스코리아,5000
182,2022-05-18,롯데리아 봉천점,9500
183,2022-05-17,영영상점 도곡13호상점,60400
184,2022-05-17,영영상점 도곡13호상점,60400
185,2022-05-16,브이피(주),6900
